date,production
12/11/1998,321884
12/4/1998,318465
11/27/1998,319986
11/20/1998,325554
11/13/1998,320397
11/6/1998,322932
10/30/1998,323739
10/23/1998,319964
10/16/1998,316227
10/9/1998,312682
10/2/1998,305893
09/25/1998,303433
09/18/1998,300336
09/11/1998,309675
09/4/1998,312057
08/28/1998,320694
08/21/1998,321012
08/14/1998,327887
08/7/1998,328423
07/31/1998,327478
07/24/1998,326795
07/17/1998,322966
07/10/1998,317425
07/3/1998,324057
06/26/1998,326843
06/19/1998,325182
06/12/1998,326836
06/5/1998,329534
05/29/1998,330394
05/22/1998,334682
05/15/1998,337928
05/8/1998,326705
05/1/1998,327368
04/24/1998,325209
04/17/1998,324906
04/10/1998,319899
04/3/1998,314569
03/27/1998,313200
03/20/1998,311606
03/13/1998,305137
03/6/1998,307194
02/27/1998,307969
02/20/1998,309568
02/13/1998,306685
02/6/1998,304983
01/30/1998,304961
01/23/1998,305583
01/16/1998,299897
01/9/1998,288685
01/2/1998,289764
12/26/1997,296230
12/19/1997,299482
12/12/1997,303451
12/5/1997,300911
11/28/1997,305669
11/21/1997,302849
11/14/1997,299075
11/7/1997,293789
10/31/1997,295098
10/24/1997,289079
10/17/1997,284474
10/10/1997,287772
10/3/1997,289944
09/26/1997,285157
09/19/1997,283839
09/12/1997,287722
09/5/1997,283928
08/29/1997,290026
08/22/1997,291628
08/15/1997,296882
08/8/1997,296258
08/1/1997,291120
07/25/1997,291884
07/18/1997,301774
07/11/1997,303759
07/4/1997,306218
06/27/1997,301399
06/20/1997,307126
06/13/1997,307589
06/6/1997,308845
05/30/1997,309261
05/23/1997,305059
05/16/1997,301845
05/9/1997,307280
05/2/1997,300885
04/25/1997,300941
04/18/1997,298115
04/11/1997,296665
04/4/1997,294041
03/28/1997,293843
03/21/1997,287497
03/14/1997,288585
03/7/1997,288475
02/28/1997,283145
02/21/1997,288568
02/14/1997,288732
02/7/1997,284247
01/31/1997,280898
01/24/1997,274863
01/17/1997,271491
01/10/1997,272956
01/3/1997,267904
12/27/1996,276127
12/20/1996,273685
12/13/1996,279788
12/6/1996,282735
11/29/1996,283728
11/22/1996,283501
11/15/1996,288297
11/8/1996,290762
11/1/1996,295892
10/25/1996,285642
10/18/1996,288701
10/11/1996,282960
10/4/1996,286261
